Region,Groups,Division,Indicator,Category,Type,JUL,AUG,SEP,OCT,NOV,DEC,JAN,FEB,MAR,APR,MAY,JUN
APAC,AIG - Analytical,Chromatography,Gross Profit,,Actual,2845,1702,3323,1822,2300,2847,2576,2648,2763,3136,2497,2561
APAC,AIG - Analytical,Chromatography,Gross Profit,,Target,2188,2745,3224,2651,1915,1979,2192,2802,1825,2919,2706,1698
APAC,AIG - Analytical,Chromatography,Gross Profit,,Last Year,2178,2728,2387,2230,3339,2322,2555,1894,2164,2194,2544,2719
APAC,AIG - Analytical,Analysis Division,Operating Profit(EBIT),,Actual,1822,641,2153,641,1134,1769,1388,1548,1685,1937,1412,1383
APAC,AIG - Analytical,Analysis Division,Operating Profit(EBIT),,Target,1149,1587,2172,1494,892,973,1086,1800,695,1745,1656,633
APAC,AIG - Analytical,Analysis Division,Operating Profit(EBIT),,Last Year,1060,1608,1384,1182,2316,1308,1448,833,988,998,1540,1536
APAC,CRG - Clinical,Development,Total Revenue,,Actual,9297,8600,9429,8200,9047,8958,9178,8681,9211,9409,8916,9389
APAC,CRG - Clinical,Development,Total Revenue,,Target,8958,8894,9382,9163,8811,8662,8705,9171,8617,9355,9444,8506
APAC,CRG - Clinical,Development,Total Revenue,,Last Year,8832,9068,8712,8910,9404,8587,8637,8671,9102,8769,9007,9071
APAC,GSG - Genetic,next-gen,Cost Of Goods Sold,,Actual,6452,6898,6106,6378,6747,6121,6602,6033,6448,6273,6419,6828
APAC,GSG - Genetic,next-gen,Cost Of Goods Sold,,Target,6780,6149,6158,6512,6896,6683,6513,6369,6792,6436,6738,6808
APAC,GSG - Genetic,next-gen,Cost Of Goods Sold,,Last Year,6654,6340,6325,6680,6065,6265,6082,6777,6938,6575,6463,6352
APAC,GSG - Genetic,Solutions,Total Operating Expense,,Actual,1023,1061,1170,1181,1166,1078,1188,1100,1078,1199,1085,1178
APAC,GSG - Genetic,Solutions,Total Operating Expense,,Target,1039,1158,1052,1157,1023,1006,1106,1002,1130,1174,1050,1065
APAC,GSG - Genetic,Solutions,Total Operating Expense,,Last Year,1118,1120,1003,1048,1023,1014,1107,1061,1176,1196,1004,1183
APAC,BPG ,Gene Therapy,Other Non Operatng Income/Expense,,Actual,71,89,50,61,66,88,76,74,76,74,54,65
